id,county,state,seat,population,sqmi,geoid,city,source_availability,parcel_availability,total_cost,tax_cost,parcel_cost,table_name,total_objects,last_refresh,address_availability,owner_availability,table_updated,path,ll_schema_version
1,Autauga,AL,Prattville,55347,594,01001,,yes,yes,0,0,,al_autauga16,36993,2016-04-04,1,1,2019-03-25 10:57:18 -0400,/us/al/autauga,
2,Baldwin,AL,Bay Minette,203709,1590,01003,,yes,yes,0,0,,al_baldwin16,133771,2016-04-08,1,1,2018-01-24 19:27:36 -0500,/us/al/baldwin,
3,Barbour,AL,Clayton,26489,885,01005,,yes,yes,0,0,,al_barbour16,23162,2016-04-08,0,0,2018-12-04 14:32:21 -0500,/us/al/barbour,
4,Bibb,AL,Centreville,22583,623,01007,,yes,yes,,,,al_bibb,14137,2016-03-24,0,0,2018-12-04 14:32:21 -0500,/us/al/bibb,
5,Blount,AL,Oneonta,57673,645,01009,,yes,yes,0,0,,al_blount,43320,2015-08-03,1,1,2019-03-29 09:47:59 -0400,/us/al/blount,
6,Bullock,AL,Union Springs,10696,623,01011,,yes,yes,0,0,,al_bullock,10411,2015-07-31,1,1,2019-03-29 09:48:00 -0400,/us/al/bullock,
7,Butler,AL,Greenville,20154,777,01013,,no,no,,,,,,,,,,/us/al/butler,
8,Calhoun,AL,Anniston,115620,606,01015,,yes,yes,0,0,,al_calhoun,72439,2015-08-03,1,1,2019-03-29 09:48:32 -0400,/us/al/calhoun,
9,Chambers,AL,,34123,,01017,,yes,yes,,,,al_chambers,26227,2016-03-24,0,0,2018-12-04 14:32:21 -0500,/us/al/chambers,
10,Cherokee,AL,Centre,25859,554,01019,,yes,yes,,,,al_cherokee,34334,2016-03-24,0,0,2018-01-24 19:28:06 -0500,/us/al/cherokee,
11,Chilton,AL,Clanton,43943,693,01021,,yes,yes,,,,al_chilton,28692,2016-04-05,0,1,2018-12-04 14:32:27 -0500,/us/al/chilton,
12,Choctaw,AL,Butler,13170,914,01023,,yes,yes,,,,al_choctaw,22287,2016-04-06,0,0,2018-01-24 19:28:11 -0500,/us/al/choctaw,
13,Clarke,AL,Grove Hill,24675,1238,01025,,yes,no,1700,,1700,,,,,,,/us/al/clarke,
14,Clay,AL,Ashland,13555,604,01027,,,no,,,,,,,,,,/us/al/clay,
15,Cleburne,AL,Heflin,15018,560,01029,,no,no,,,,,,,,,,/us/al/cleburne,
16,Coffee,AL,Elba and Enterprise,51211,679,01031,,yes,yes,0,0,,al_coffee,36240,2015-07-31,0,0,2019-03-29 09:48:08 -0400,/us/al/coffee,
17,Colbert,AL,Tuscumbia,54354,593,01033,,yes,yes,0,0,,al_colbert16,42712,2016-04-08,1,1,2018-01-24 19:28:18 -0500,/us/al/colbert,
18,Conecuh,AL,Evergreen,12672,850,01035,,yes,yes,0,,1500,al_conecuh,18633,2016-03-24,0,0,2018-01-24 19:28:19 -0500,/us/al/conecuh,
19,Coosa,AL,Rockford,10724,651,01037,,yes,yes,,,,al_coosa,15932,2016-03-24,0,0,2018-12-04 14:34:07 -0500,/us/al/coosa,
20,Covington,AL,Andalusia,37835,1030,01039,,no,no,,,,,,,,,,/us/al/covington,
21,Crenshaw,AL,Luverne,13963,609,01041,,no,no,,,,,,,,,,/us/al/crenshaw,
22,Cullman,AL,Cullman,82005,735,01043,,yes,yes,0,0,,al_cullman,56322,2015-08-03,1,1,2019-03-29 09:48:17 -0400,/us/al/cullman,
23,Dale,AL,Ozark,49565,561,01045,,,no,,,,,,,,,,/us/al/dale,
24,Dallas,AL,Selma,41131,979,01047,,yes,yes,0,0,,al_dallas,31219,2015-07-31,0,0,2019-03-29 09:48:21 -0400,/us/al/dallas,
25,DeKalb,AL,Fort Payne,71130,777,01049,,yes,yes,0,0,,al_dekalb16,51511,2016-04-08,0,1,2018-01-24 19:28:33 -0500,/us/al/dekalb,
26,Elmore,AL,Wetumpka,81468,618,01051,,yes,yes,0,0,,al_elmore16,48979,2016-04-20,0,0,2018-01-24 19:28:38 -0500,/us/al/elmore,
27,Escambia,AL,Brewton,37789,945,01053,,,no,0,0,,,,,,,,/us/al/escambia,
28,Etowah,AL,Gadsden,103057,535,01055,,yes,yes,0,0,,al_etowah,74581,2016-04-04,1,1,2018-01-24 19:28:44 -0500,/us/al/etowah,
29,Fayette,AL,Fayette,16759,628,01057,,yes,yes,,,,al_fayette,21694,2016-04-04,0,0,2018-01-24 19:28:46 -0500,/us/al/fayette,
30,Franklin,AL,Russellville,31696,634,01059,,yes,yes,0,0,,al_franklin,23125,2015-08-03,0,1,2019-03-29 09:48:27 -0400,/us/al/franklin,
31,Geneva,AL,Geneva,26777,574,01061,,,no,,,,,,,,,,/us/al/geneva,
32,Greene,AL,Eutaw,8479,647,01063,,yes,yes,,,,al_greene,10593,2016-04-04,0,1,2018-01-24 19:28:50 -0500,/us/al/greene,
33,Hale,AL,Greensboro,15068,644,01065,,,no,,,,,,,,,,/us/al/hale,
34,Henry,AL,Abbeville,17221,562,01067,,no,no,,,,,,,,,,/us/al/henry,
35,Houston,AL,Dothan,104173,580,01069,,yes,yes,,,,al_houston,57330,2016-05-20,1,1,2019-03-29 09:48:37 -0400,/us/al/houston,
36,Jackson,AL,Scottsboro,52419,1078,01071,,yes,yes,,,,al_jackson,44538,2016-04-04,0,0,2018-12-04 14:34:19 -0500,/us/al/jackson,
37,Jefferson,AL,Birmingham,660367,1111,01073,,yes,yes,,,,al_jefferson18,384902,2018-12-09,1,1,2019-03-25 10:57:24 -0400,/us/al/jefferson,1
38,Lamar,AL,Vernon,13886,605,01075,,yes,yes,,,,al_lamar,16172,2016-04-05,0,1,2018-01-24 19:29:51 -0500,/us/al/lamar,
39,Lauderdale,AL,Florence,92596,668,01077,,yes,yes,0,0,,al_lauderdale,56843,2016-04-04,1,1,2019-03-25 10:57:35 -0400,/us/al/lauderdale,
40,Lawrence,AL,Moulton,33115,691,01079,,yes,yes,0,0,,al_lawrence,24550,2016-04-06,1,0,2018-01-24 19:30:00 -0500,/us/al/lawrence,
41,Lee,AL,Opelika,156993,608,01081,,yes,yes,,,,al_lee,26207,2016-04-04,1,1,2018-01-24 19:30:02 -0500,/us/al/lee,
42,Limestone,AL,Athens,91663,560,01083,,yes,yes,,,,al_limestone,52402,2016-04-04,1,1,2019-03-25 10:57:37 -0400,/us/al/limestone,
43,Lowndes,AL,Hayneville,10458,716,01085,,,no,,,,,,,,,,/us/al/lowndes,
44,Macon,AL,Tuskegee,19105,609,01087,,yes,yes,0,0,,al_macon,19592,2015-07-31,0,0,2019-03-29 09:48:41 -0400,/us/al/macon,
45,Madison,AL,Huntsville,353089,802,01089,,yes,yes,0,0,,al_madison16,163238,2016-04-04,1,1,2019-03-25 10:57:42 -0400,/us/al/madison,
46,Marengo,AL,Linden,20028,977,01091,,yes,yes,,,,al_marengo,21478,2016-04-04,1,1,2018-01-24 19:30:34 -0500,/us/al/marengo,
47,Marion,AL,Hamilton,30168,742,01093,,yes,yes,,,,al_marion,28633,2016-05-20,0,0,2018-12-04 14:34:20 -0500,/us/al/marion,
48,Marshall,AL,Guntersville,94725,566,01095,,yes,yes,0,0,,al_marshall,60407,2016-04-04,1,1,2018-01-24 19:30:51 -0500,/us/al/marshall,
